Day,Month,Year,Content ID,Reaction Type,Content Type,Category,Sentiment,Score
Fri,Nov,2020,697af362-e84b-4429-b4ea-4123c6ab44ba,dislike,video,science,negative,10
Fri,Nov,2020,697af362-e84b-4429-b4ea-4123c6ab44ba,dislike,video,science,negative,10
Mon,Nov,2020,ad8bc9be-50a3-491a-b240-49b8f573238e,dislike,GIF,soccer,negative,10
Tue,May,2021,ad8bc9be-50a3-491a-b240-49b8f573238e,dislike,GIF,soccer,negative,10
Sun,May,2021,54acd843-1e09-4b30-a80a-b9e0295ff269,dislike,GIF,tennis,negative,10
Tue,Apr,2021,54acd843-1e09-4b30-a80a-b9e0295ff269,dislike,GIF,tennis,negative,10
Sat,Jun,2020,54acd843-1e09-4b30-a80a-b9e0295ff269,dislike,GIF,tennis,negative,10
Wed,Nov,2020,f6c9e663-620c-4d18-9494-7eea83fbf4b7,dislike,audio,animals,negative,10
Mon,Sep,2020,f6c9e663-620c-4d18-9494-7eea83fbf4b7,dislike,audio,animals,negative,10
Fri,Mar,2021,78c7c5a7-5de4-469e-8460-49e8e491bde6,dislike,GIF,public speaking,negative,10
Sun,Jan,2021,78c7c5a7-5de4-469e-8460-49e8e491bde6,dislike,GIF,public speaking,negative,10
Mon,Aug,2020,78c7c5a7-5de4-469e-8460-49e8e491bde6,dislike,GIF,public speaking,negative,10
Sat,Nov,2020,78c7c5a7-5de4-469e-8460-49e8e491bde6,dislike,GIF,public speaking,negative,10
Sun,May,2021,567ddaca-f9aa-4e53-b9b7-b745a1ac0c95,dislike,video,culture,negative,10
Fri,May,2021,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Sat,Nov,2020,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Mon,Dec,2020,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Sat,Apr,2021,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Mon,May,2021,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Wed,Nov,2020,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Thu,Nov,2020,46bd9a52-6547-457f-87fa-0e434e5bc61c,dislike,photo,fitness,negative,10
Sun,Jan,2021,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,dislike,photo,culture,negative,10
Mon,Mar,2021,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,dislike,photo,culture,negative,10
Wed,Jun,2021,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,dislike,photo,culture,negative,10
Mon,Mar,2021,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,dislike,photo,culture,negative,10
Thu,Apr,2021,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Tue,Dec,2020,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Wed,Dec,2020,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Fri,Jun,2021,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Thu,Jun,2021,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Tue,Apr,2021,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Mon,Jun,2020,501b2f88-999b-4ad9-b2f5-4b9c36a31259,dislike,photo,cooking,negative,10
Sun,Sep,2020,df15da28-c038-4d0c-a63a-eac77f650ee3,dislike,audio,tennis,negative,10
Thu,Dec,2020,df15da28-c038-4d0c-a63a-eac77f650ee3,dislike,audio,tennis,negative,10
Sun,Aug,2020,df15da28-c038-4d0c-a63a-eac77f650ee3,dislike,audio,tennis,negative,10
Thu,Dec,2020,0da2523f-acc4-4687-9844-45eaa5e90c65,dislike,video,technology,negative,10
Tue,Jun,2020,0da2523f-acc4-4687-9844-45eaa5e90c65,dislike,video,technology,negative,10
Thu,Apr,2021,b6ecb09e-a706-4589-bb75-70cb1cc590eb,dislike,photo,culture,negative,10
Tue,Mar,2021,b6ecb09e-a706-4589-bb75-70cb1cc590eb,dislike,photo,culture,negative,10
Mon,Apr,2021,b6ecb09e-a706-4589-bb75-70cb1cc590eb,dislike,photo,culture,negative,10
Fri,Nov,2020,b6ecb09e-a706-4589-bb75-70cb1cc590eb,dislike,photo,culture,negative,10
Thu,Oct,2020,b6ecb09e-a706-4589-bb75-70cb1cc590eb,dislike,photo,culture,negative,10
Sun,Oct,2020,23a1f257-2f17-4e67-aec1-626c77d73216,dislike,GIF,studying,negative,10
Fri,Oct,2020,02ba5af1-784a-44cc-ae3a-14833c4a2237,dislike,video,healthy eating,negative,10
Wed,Feb,2021,02ba5af1-784a-44cc-ae3a-14833c4a2237,dislike,video,healthy eating,negative,10
Fri,Mar,2021,02ba5af1-784a-44cc-ae3a-14833c4a2237,dislike,video,healthy eating,negative,10
Mon,May,2021,02ba5af1-784a-44cc-ae3a-14833c4a2237,dislike,video,healthy eating,negative,10
Mon,Sep,2020,02ba5af1-784a-44cc-ae3a-14833c4a2237,dislike,video,healthy eating,negative,10
Mon,Mar,2021,02ba5af1-784a-44cc-ae3a-14833c4a2237,dislike,video,healthy eating,negative,10
Tue,Oct,2020,c84f903e-32ae-4ce1-b66b-d876439fccf5,dislike,audio,healthy eating,negative,10
Mon,Oct,2020,c84f903e-32ae-4ce1-b66b-d876439fccf5,dislike,audio,healthy eating,negative,10
Tue,Mar,2021,c84f903e-32ae-4ce1-b66b-d876439fccf5,dislike,audio,healthy eating,negative,10
Sun,Nov,2020,86f4e4df-636a-48f5-bb66-03ea4fd00214,dislike,photo,veganism,negative,10
Thu,Feb,2021,86f4e4df-636a-48f5-bb66-03ea4fd00214,dislike,photo,veganism,negative,10
Fri,May,2021,86f4e4df-636a-48f5-bb66-03ea4fd00214,dislike,photo,veganism,negative,10
Thu,Aug,2020,86f4e4df-636a-48f5-bb66-03ea4fd00214,dislike,photo,veganism,negative,10
Sun,Dec,2020,b27bfcfe-64df-499e-b60f-f93d2200c589,dislike,video,soccer,negative,10
Fri,Jan,2021,b27bfcfe-64df-499e-b60f-f93d2200c589,dislike,video,soccer,negative,10
Wed,Aug,2020,b27bfcfe-64df-499e-b60f-f93d2200c589,dislike,video,soccer,negative,10
Thu,Feb,2021,9a2c328f-16aa-490c-8ca2-c7deaa90db3f,dislike,photo,culture,negative,10
Fri,Aug,2020,9a2c328f-16aa-490c-8ca2-c7deaa90db3f,dislike,photo,culture,negative,10
Tue,Mar,2021,9a2c328f-16aa-490c-8ca2-c7deaa90db3f,dislike,photo,culture,negative,10
Fri,Nov,2020,9a2c328f-16aa-490c-8ca2-c7deaa90db3f,dislike,photo,culture,negative,10
Wed,Oct,2020,800f467b-53a3-4d20-9342-51fe4fa36ebb,dislike,GIF,food,negative,10
Sat,Jun,2020,b07a2298-7c03-49b3-a0a6-c65333847598,dislike,GIF,culture,negative,10
Fri,Jun,2020,b07a2298-7c03-49b3-a0a6-c65333847598,dislike,GIF,culture,negative,10
Wed,Jan,2021,45d2d284-1830-45a3-8c9d-95f8bdec3202,dislike,audio,studying,negative,10
Thu,Jan,2021,29d7781c-9302-4269-91f3-c23afb33467a,dislike,video,public speaking,negative,10
Wed,Mar,2021,1517abf6-67ed-47e1-9b9b-7e79a23a4d22,dislike,photo,education,negative,10
Tue,Nov,2020,1517abf6-67ed-47e1-9b9b-7e79a23a4d22,dislike,photo,education,negative,10
Sat,Jul,2020,4df372b3-ed9d-41ef-b33d-b576ec383dfc,dislike,audio,dogs,negative,10
Fri,Feb,2021,4df372b3-ed9d-41ef-b33d-b576ec383dfc,dislike,audio,dogs,negative,10
Wed,Apr,2021,f361cc99-64f0-4a7c-ad49-945ff01abaa6,dislike,photo,dogs,negative,10
Mon,Mar,2021,f361cc99-64f0-4a7c-ad49-945ff01abaa6,dislike,photo,dogs,negative,10
Wed,Apr,2021,fc346df4-d165-4ed0-8d43-a6896daf908e,dislike,video,public speaking,negative,10
Tue,Sep,2020,fc346df4-d165-4ed0-8d43-a6896daf908e,dislike,video,public speaking,negative,10
Thu,Aug,2020,fc346df4-d165-4ed0-8d43-a6896daf908e,dislike,video,public speaking,negative,10
Wed,Jul,2020,aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,dislike,photo,animals,negative,10
Thu,Jun,2021,aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,dislike,photo,animals,negative,10
Sun,Dec,2020,77b49477-2f3c-455a-b8f1-09ec2e553174,dislike,video,cooking,negative,10
Sat,Feb,2021,77b49477-2f3c-455a-b8f1-09ec2e553174,dislike,video,cooking,negative,10
Wed,Mar,2021,77b49477-2f3c-455a-b8f1-09ec2e553174,dislike,video,cooking,negative,10
Wed,Apr,2021,d4813cf8-87d5-421e-81f7-c5d43c25c62a,dislike,GIF,technology,negative,10
Tue,Jun,2020,b4871080-6bb7-4056-82a9-d8015d7b76e8,dislike,GIF,education,negative,10
Tue,Jun,2021,b4d8b8ed-d538-49d2-a1cb-25548045bcf1,dislike,video,healthy eating,negative,10
Thu,Oct,2020,b4d8b8ed-d538-49d2-a1cb-25548045bcf1,dislike,video,healthy eating,negative,10
Sun,Apr,2021,b4d8b8ed-d538-49d2-a1cb-25548045bcf1,dislike,video,healthy eating,negative,10
Fri,Aug,2020,8477eb49-08fd-44c3-a238-a13ee8cc5be8,dislike,audio,food,negative,10
Mon,Mar,2021,fbd8f70d-d62d-42e8-9508-9f5815ab578c,dislike,video,education,negative,10
Wed,Feb,2021,fbd8f70d-d62d-42e8-9508-9f5815ab578c,dislike,video,education,negative,10
Tue,Aug,2020,9108109e-c521-4528-9d90-4c804cbb866d,dislike,audio,veganism,negative,10
Sat,Aug,2020,fea9077f-2fe7-43bd-aaef-dc2619988d94,dislike,photo,culture,negative,10
Sun,Dec,2020,88cbf75c-79f0-42cb-8733-af670f39d6e0,dislike,audio,animals,negative,10
Mon,Nov,2020,88cbf75c-79f0-42cb-8733-af670f39d6e0,dislike,audio,animals,negative,10
Sun,Feb,2021,218838d8-52f4-4608-a1ba-d8988cc3d029,dislike,video,food,negative,10
Fri,Jun,2021,218838d8-52f4-4608-a1ba-d8988cc3d029,dislike,video,food,negative,10
Sun,May,2021,218838d8-52f4-4608-a1ba-d8988cc3d029,dislike,video,food,negative,10
Wed,May,2021,218838d8-52f4-4608-a1ba-d8988cc3d029,dislike,video,food,negative,10
Fri,Apr,2021,197dafda-42bd-4a0c-93b1-2ec8bb0214f6,dislike,audio,travel,negative,10
Wed,Oct,2020,d288a4cb-6361-4d4b-925f-a0bf2e3350ec,dislike,GIF,technology,negative,10
Sat,Jun,2020,d288a4cb-6361-4d4b-925f-a0bf2e3350ec,dislike,GIF,technology,negative,10
Fri,Aug,2020,ac63258d-9d7d-4167-934e-48b3f3c43fa9,dislike,audio,tennis,negative,10
Tue,Mar,2021,ac63258d-9d7d-4167-934e-48b3f3c43fa9,dislike,audio,tennis,negative,10
Thu,Jul,2020,96d90aa6-a75b-4a75-9565-45f6cc8c9e98,dislike,video,public speaking,negative,10
Thu,Sep,2020,d200b97e-f661-4502-80d1-1e458816d558,dislike,audio,science,negative,10
Fri,Oct,2020,d200b97e-f661-4502-80d1-1e458816d558,dislike,audio,science,negative,10
Sat,Apr,2021,d200b97e-f661-4502-80d1-1e458816d558,dislike,audio,science,negative,10
Tue,Feb,2021,d200b97e-f661-4502-80d1-1e458816d558,dislike,audio,science,negative,10
Tue,Apr,2021,7f9423ac-89b4-4a9a-9747-76e8dd533e81,dislike,video,education,negative,10
Thu,Jun,2020,6b09861c-712e-46e6-a2a5-72e4b3878767,dislike,photo,studying,negative,10
Sat,Apr,2021,6b09861c-712e-46e6-a2a5-72e4b3878767,dislike,photo,studying,negative,10
Fri,Jan,2021,4c009116-c94a-4633-83fb-956565358565,dislike,photo,soccer,negative,10
Thu,Nov,2020,4c009116-c94a-4633-83fb-956565358565,dislike,photo,soccer,negative,10
Tue,Sep,2020,4c009116-c94a-4633-83fb-956565358565,dislike,photo,soccer,negative,10
Sun,Jan,2021,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,dislike,photo,animals,negative,10
Sun,Nov,2020,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,dislike,photo,animals,negative,10
Thu,Oct,2020,5911afa4-2af5-4e7e-b6e3-e3b985597aa9,dislike,audio,dogs,negative,10
Sat,Jan,2021,9531f7f8-d0cc-4e42-9cbb-94d93692653f,dislike,photo,soccer,negative,10
Fri,Jul,2020,9531f7f8-d0cc-4e42-9cbb-94d93692653f,dislike,photo,soccer,negative,10
Wed,Nov,2020,3cec7ac2-f9b6-4e4c-b392-63c59c3621f2,dislike,GIF,healthy eating,negative,10
Sun,Dec,2020,3cec7ac2-f9b6-4e4c-b392-63c59c3621f2,dislike,GIF,healthy eating,negative,10
Sun,May,2021,3cec7ac2-f9b6-4e4c-b392-63c59c3621f2,dislike,GIF,healthy eating,negative,10
Tue,Jun,2021,c323d478-30a2-4140-a2ba-935a37b2ec10,dislike,GIF,cooking,negative,10
Sat,Sep,2020,c323d478-30a2-4140-a2ba-935a37b2ec10,dislike,GIF,cooking,negative,10
Mon,Jan,2021,c323d478-30a2-4140-a2ba-935a37b2ec10,dislike,GIF,cooking,negative,10
Tue,Oct,2020,e409d5be-a02d-4688-9869-eb940fe1e133,dislike,audio,public speaking,negative,10
Sat,Apr,2021,bd656a40-09c1-4219-8210-e667136e3734,dislike,GIF,culture,negative,10
Mon,Sep,2020,bd656a40-09c1-4219-8210-e667136e3734,dislike,GIF,culture,negative,10
Mon,Oct,2020,bd656a40-09c1-4219-8210-e667136e3734,dislike,GIF,culture,negative,10
Thu,Dec,2020,bd656a40-09c1-4219-8210-e667136e3734,dislike,GIF,culture,negative,10
Sat,Oct,2020,afe1fed5-5639-45c7-89f8-ce9d1078c910,dislike,audio,cooking,negative,10
Tue,Mar,2021,afe1fed5-5639-45c7-89f8-ce9d1078c910,dislike,audio,cooking,negative,10
Thu,Aug,2020,afe1fed5-5639-45c7-89f8-ce9d1078c910,dislike,audio,cooking,negative,10
Fri,Oct,2020,afe1fed5-5639-45c7-89f8-ce9d1078c910,dislike,audio,cooking,negative,10
Thu,May,2021,af6c5966-dfe7-460b-9853-62ed9f18aed4,dislike,photo,technology,negative,10
Tue,Jul,2020,af6c5966-dfe7-460b-9853-62ed9f18aed4,dislike,photo,technology,negative,10
Thu,Apr,2021,af6c5966-dfe7-460b-9853-62ed9f18aed4,dislike,photo,technology,negative,10
Sat,Dec,2020,5ecad91d-3e8f-4a9e-9473-c3db5f2ab72f,dislike,audio,public speaking,negative,10
Mon,Sep,2020,2b7f2d2b-2a0b-4d33-ada9-ee9629742dff,dislike,photo,healthy eating,negative,10
Mon,Sep,2020,57528f91-7b0d-4120-acaf-82ee87f6df7d,dislike,video,education,negative,10
Thu,Sep,2020,57528f91-7b0d-4120-acaf-82ee87f6df7d,dislike,video,education,negative,10
Sat,Aug,2020,4e7535a7-4547-4da5-952e-607442ebed79,dislike,GIF,dogs,negative,10
Fri,May,2021,4e7535a7-4547-4da5-952e-607442ebed79,dislike,GIF,dogs,negative,10
Fri,Aug,2020,5444a751-c58b-456a-9fc9-1e4f292f2920,dislike,GIF,cooking,negative,10
Sat,Oct,2020,5444a751-c58b-456a-9fc9-1e4f292f2920,dislike,GIF,cooking,negative,10
Fri,May,2021,e0c5ae74-b379-4d34-a7ae-824daea8d682,dislike,audio,soccer,negative,10
Fri,May,2021,e0c5ae74-b379-4d34-a7ae-824daea8d682,dislike,audio,soccer,negative,10
Thu,Apr,2021,1f0ed2b8-8531-416f-b694-a40a63f378a0,dislike,photo,animals,negative,10
Sun,Sep,2020,65304022-f925-48f0-9dfc-436578f22c77,dislike,audio,soccer,negative,10
Mon,Oct,2020,754eb96d-65d0-416b-aec4-4ba35836157d,dislike,GIF,tennis,negative,10
Thu,Dec,2020,476e3ce0-3291-4c77-b3a3-deabee114efc,dislike,audio,healthy eating,negative,10
Fri,May,2021,83d08b29-6cdc-436c-89a6-20c3d60f7e73,dislike,GIF,soccer,negative,10
Sun,Feb,2021,83d08b29-6cdc-436c-89a6-20c3d60f7e73,dislike,GIF,soccer,negative,10
Sat,Apr,2021,f5068d8a-d4ba-49ee-8f30-716c1ec57e04,dislike,GIF,tennis,negative,10
Sat,Sep,2020,f5068d8a-d4ba-49ee-8f30-716c1ec57e04,dislike,GIF,tennis,negative,10
Fri,Apr,2021,8de4028d-9af3-4dc0-a4d6-4d9a56eae3c5,dislike,audio,technology,negative,10
Fri,Sep,2020,8de4028d-9af3-4dc0-a4d6-4d9a56eae3c5,dislike,audio,technology,negative,10
Tue,Oct,2020,8de4028d-9af3-4dc0-a4d6-4d9a56eae3c5,dislike,audio,technology,negative,10
Mon,Jun,2020,b9bfb48f-a6b6-4c15-869a-1acceea04fca,dislike,video,soccer,negative,10
Sun,May,2021,e6193423-0d30-4439-884a-ea22fea68522,dislike,video,dogs,negative,10
Mon,Jan,2021,e6193423-0d30-4439-884a-ea22fea68522,dislike,video,dogs,negative,10
Thu,Sep,2020,dd7069e3-d0ad-4599-b159-032267fd5008,dislike,photo,public speaking,negative,10
Sat,May,2021,dd7069e3-d0ad-4599-b159-032267fd5008,dislike,photo,public speaking,negative,10
Sat,Feb,2021,6fd589e8-53ab-4345-896a-f428a92fcbe6,dislike,video,education,negative,10
Tue,Feb,2021,1c77e474-0cc6-40ac-b48b-cbc511bffc77,dislike,video,healthy eating,negative,10
Fri,May,2021,1c77e474-0cc6-40ac-b48b-cbc511bffc77,dislike,video,healthy eating,negative,10
Wed,Jan,2021,bcd3702f-c27e-48ce-889b-63f765f498ef,dislike,GIF,education,negative,10
Thu,Sep,2020,bcd3702f-c27e-48ce-889b-63f765f498ef,dislike,GIF,education,negative,10
Fri,Feb,2021,f24f469f-53f1-4901-b6c5-18827ae0a103,dislike,photo,culture,negative,10
Wed,Jul,2020,f24f469f-53f1-4901-b6c5-18827ae0a103,dislike,photo,culture,negative,10
Thu,Jun,2021,7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f,dislike,audio,animals,negative,10
Wed,Oct,2020,7f5299bf-ae57-4c01-a84c-f0c6bc7a5b5f,dislike,audio,animals,negative,10
Sat,Dec,2020,ec202582-a5b2-4ea2-992c-8a1ca8b705d0,dislike,photo,food,negative,10
Thu,Nov,2020,d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,dislike,GIF,healthy eating,negative,10
Fri,Jul,2020,d70f66c4-627a-4416-b1ad-51b5ccc8cf1d,dislike,GIF,healthy eating,negative,10
Tue,Sep,2020,b3562ae0-929b-46a5-8989-89e4ac3d1f7c,dislike,photo,public speaking,negative,10
Tue,Feb,2021,b3562ae0-929b-46a5-8989-89e4ac3d1f7c,dislike,photo,public speaking,negative,10
Sat,Jan,2021,dd5bd710-bb81-464e-a798-0291b385e883,dislike,photo,healthy eating,negative,10
Sat,Jun,2020,dd5bd710-bb81-464e-a798-0291b385e883,dislike,photo,healthy eating,negative,10
Fri,Apr,2021,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,dislike,video,travel,negative,10
Fri,Jul,2020,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,dislike,video,travel,negative,10
Mon,Oct,2020,a38cf15e-6a1d-42e8-bee7-0eeb456c700b,dislike,video,travel,negative,10
Wed,Dec,2020,4fd0ef9a-008d-4b61-9a78-4b0257281140,dislike,audio,technology,negative,10
Tue,Jul,2020,4fd0ef9a-008d-4b61-9a78-4b0257281140,dislike,audio,technology,negative,10
Fri,Jun,2020,6796d3e9-ee98-47cb-b057-90cfaf6ebcbb,dislike,audio,technology,negative,10
Wed,Jun,2021,6796d3e9-ee98-47cb-b057-90cfaf6ebcbb,dislike,audio,technology,negative,10
Fri,Mar,2021,76898916-4024-4c32-909b-dd240879d76a,dislike,GIF,animals,negative,10
Mon,Jul,2020,8204e4bd-c544-4a18-ac0d-6f5289957cdf,dislike,photo,dogs,negative,10
Mon,Feb,2021,301cfd14-3e4f-4058-b253-c591ef150888,dislike,audio,veganism,negative,10
Sat,Feb,2021,56a3156c-41e0-4b35-8e6d-947961b3af5b,dislike,photo,fitness,negative,10
Fri,Apr,2021,56a3156c-41e0-4b35-8e6d-947961b3af5b,dislike,photo,fitness,negative,10
Sat,Feb,2021,fd060448-7b3e-4626-b3ca-44bfe764e26f,dislike,photo,cooking,negative,10
Thu,May,2021,fd060448-7b3e-4626-b3ca-44bfe764e26f,dislike,photo,cooking,negative,10
Sun,Apr,2021,fd060448-7b3e-4626-b3ca-44bfe764e26f,dislike,photo,cooking,negative,10
Sun,Jul,2020,fd060448-7b3e-4626-b3ca-44bfe764e26f,dislike,photo,cooking,negative,10
Thu,Feb,2021,fd060448-7b3e-4626-b3ca-44bfe764e26f,dislike,photo,cooking,negative,10
Sat,Aug,2020,fd060448-7b3e-4626-b3ca-44bfe764e26f,dislike,photo,cooking,negative,10
Tue,Dec,2020,af373863-f9df-4330-b423-d2b802b30d6e,dislike,video,food,negative,10
Sun,Sep,2020,af373863-f9df-4330-b423-d2b802b30d6e,dislike,video,food,negative,10
Mon,Sep,2020,af373863-f9df-4330-b423-d2b802b30d6e,dislike,video,food,negative,10
Sun,Apr,2021,af373863-f9df-4330-b423-d2b802b30d6e,dislike,video,food,negative,10
Thu,Dec,2020,af373863-f9df-4330-b423-d2b802b30d6e,dislike,video,food,negative,10
Tue,Mar,2021,6380e982-07ac-4d21-bd23-cec0bcfa1ff9,dislike,photo,soccer,negative,10
Thu,Mar,2021,b13bec8c-4469-4cc8-8650-7057eb95d3ee,dislike,GIF,travel,negative,10
Thu,Sep,2020,b13bec8c-4469-4cc8-8650-7057eb95d3ee,dislike,GIF,travel,negative,10
Wed,Jan,2021,43450a12-1e4c-4a17-a846-9d8768984051,dislike,video,animals,negative,10
Sat,Aug,2020,43450a12-1e4c-4a17-a846-9d8768984051,dislike,video,animals,negative,10
Thu,Dec,2020,7913b30d-19fd-4900-8a68-ce141192b3ec,dislike,audio,cooking,negative,10
Sun,May,2021,7913b30d-19fd-4900-8a68-ce141192b3ec,dislike,audio,cooking,negative,10
Mon,Nov,2020,c5e2d733-94b9-4259-85e8-6fb7a95a1887,dislike,audio,tennis,negative,10
Tue,Feb,2021,c5e2d733-94b9-4259-85e8-6fb7a95a1887,dislike,audio,tennis,negative,10
Wed,Jan,2021,c5e2d733-94b9-4259-85e8-6fb7a95a1887,dislike,audio,tennis,negative,10
Thu,Apr,2021,c5e2d733-94b9-4259-85e8-6fb7a95a1887,dislike,audio,tennis,negative,10
Wed,Oct,2020,b7983f99-c4c7-455b-a120-b144101449ad,dislike,audio,dogs,negative,10
Wed,Apr,2021,b7983f99-c4c7-455b-a120-b144101449ad,dislike,audio,dogs,negative,10
Tue,Mar,2021,f2f7e343-5e8f-4ef3-b693-4261971c2ee7,dislike,GIF,tennis,negative,10
Mon,Jul,2020,a1d33ddd-1a6c-4dc2-afe1-bcf632cf0ce4,dislike,video,food,negative,10
Mon,Jul,2020,a1d33ddd-1a6c-4dc2-afe1-bcf632cf0ce4,dislike,video,food,negative,10
Sat,Nov,2020,c82d3a99-3d11-407d-9648-9f9560f40d7f,dislike,photo,travel,negative,10
Sun,Oct,2020,cad48d10-3ad3-4bf0-bee5-330783eb8532,dislike,photo,soccer,negative,10
Wed,Dec,2020,888660b0-7dd8-4983-858a-101cd03d392b,dislike,video,science,negative,10
Sun,Jul,2020,888660b0-7dd8-4983-858a-101cd03d392b,dislike,video,science,negative,10
Sun,Oct,2020,888660b0-7dd8-4983-858a-101cd03d392b,dislike,video,science,negative,10
Fri,Feb,2021,888660b0-7dd8-4983-858a-101cd03d392b,dislike,video,science,negative,10
Thu,Jun,2020,888660b0-7dd8-4983-858a-101cd03d392b,dislike,video,science,negative,10
Mon,Feb,2021,6ccf94b4-f549-4d17-a1d0-3bf7656bce81,dislike,video,animals,negative,10
Sun,Aug,2020,6ccf94b4-f549-4d17-a1d0-3bf7656bce81,dislike,video,animals,negative,10
Sat,Mar,2021,6ccf94b4-f549-4d17-a1d0-3bf7656bce81,dislike,video,animals,negative,10
Sat,Nov,2020,145ed259-6151-4021-bc13-a0b5482e5bd8,dislike,photo,technology,negative,10
Sun,Jul,2020,145ed259-6151-4021-bc13-a0b5482e5bd8,dislike,photo,technology,negative,10
Mon,May,2021,19f998c4-270b-489d-bea6-ae161d301923,dislike,GIF,travel,negative,10
Mon,Dec,2020,19f998c4-270b-489d-bea6-ae161d301923,dislike,GIF,travel,negative,10
Thu,Nov,2020,19f998c4-270b-489d-bea6-ae161d301923,dislike,GIF,travel,negative,10
Sun,Jan,2021,3af75639-bdaf-4461-b630-d212e7fb4f30,dislike,audio,education,negative,10
Wed,Dec,2020,73fde78d-7908-4406-8377-747873ecd29a,dislike,video,studying,negative,10
Fri,Jan,2021,73fde78d-7908-4406-8377-747873ecd29a,dislike,video,studying,negative,10
Sat,Nov,2020,73fde78d-7908-4406-8377-747873ecd29a,dislike,video,studying,negative,10
Fri,Jan,2021,73fde78d-7908-4406-8377-747873ecd29a,dislike,video,studying,negative,10
Sat,Sep,2020,0ce7392d-5c20-4ffa-a42f-767f51e9b466,dislike,GIF,travel,negative,10
Fri,Apr,2021,0ce7392d-5c20-4ffa-a42f-767f51e9b466,dislike,GIF,travel,negative,10
Wed,Mar,2021,0ce7392d-5c20-4ffa-a42f-767f51e9b466,dislike,GIF,travel,negative,10
Fri,Oct,2020,0ce7392d-5c20-4ffa-a42f-767f51e9b466,dislike,GIF,travel,negative,10
Sun,Dec,2020,ed28489e-90b0-4daa-a1fa-22170cdc89d5,dislike,audio,veganism,negative,10
Thu,Apr,2021,ed28489e-90b0-4daa-a1fa-22170cdc89d5,dislike,audio,veganism,negative,10
Wed,Jan,2021,ed28489e-90b0-4daa-a1fa-22170cdc89d5,dislike,audio,veganism,negative,10
Thu,Jan,2021,6ddba21a-cc51-4bbd-b38d-02df5cec5f68,dislike,audio,culture,negative,10
Mon,May,2021,6ddba21a-cc51-4bbd-b38d-02df5cec5f68,dislike,audio,culture,negative,10
Mon,Aug,2020,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Fri,Mar,2021,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Wed,Sep,2020,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Thu,Feb,2021,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Thu,Sep,2020,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Mon,Oct,2020,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Mon,Dec,2020,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Sat,Dec,2020,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Wed,Feb,2021,d90a34f1-60ed-4a79-b7bf-fd22efa12e4c,dislike,photo,travel,negative,10
Wed,Mar,2021,7286f9d2-7c83-4c7b-bc01-6f56eb0235de,dislike,video,travel,negative,10
Mon,Jun,2021,7286f9d2-7c83-4c7b-bc01-6f56eb0235de,dislike,video,travel,negative,10
Wed,Jan,2021,7286f9d2-7c83-4c7b-bc01-6f56eb0235de,dislike,video,travel,negative,10
Wed,Oct,2020,69ce055c-e0bd-46c5-b856-bf2254d1c490,dislike,GIF,healthy eating,negative,10
Wed,Aug,2020,2d7084fb-b457-4813-829f-73911025eeaa,dislike,GIF,cooking,negative,10
